Mutated class;Mutation type;Mutated method;Is mutant still alive ?
org.apache.commons.cli.OptionGroup;ifeq is replaced by ifneq;setSelected;FALSE
org.apache.commons.cli.OptionGroup;ifeq is replaced by ifneq;toString;FALSE
org.apache.commons.cli.OptionGroup;ifeq is replaced by ifneq;toString;FALSE
org.apache.commons.cli.HelpFormatter;ifneq is replaced by ifeq;printHelp;FALSE
org.apache.commons.cli.HelpFormatter;ifeq is replaced by ifneq;printHelp;FALSE
org.apache.commons.cli.HelpFormatter;ifeq is replaced by ifneq;printUsage;FALSE
org.apache.commons.cli.HelpFormatter;ifneq is replaced by ifeq;printUsage;FALSE
org.apache.commons.cli.HelpFormatter;ifeq is replaced by ifneq;printUsage;FALSE
org.apache.commons.cli.HelpFormatter;+ is replaced by -;printUsage;FALSE
org.apache.commons.cli.HelpFormatter;ifneq is replaced by ifeq;appendOptionGroup;FALSE
org.apache.commons.cli.HelpFormatter;ifeq is replaced by ifneq;appendOptionGroup;FALSE
org.apache.commons.cli.HelpFormatter;ifeq is replaced by ifneq;appendOptionGroup;FALSE
org.apache.commons.cli.HelpFormatter;ifneq is replaced by ifeq;appendOptionGroup;FALSE
org.apache.commons.cli.HelpFormatter;ifneq is replaced by ifeq;appendOption;FALSE
org.apache.commons.cli.HelpFormatter;ifeq is replaced by ifneq;appendOption;FALSE
org.apache.commons.cli.HelpFormatter;ifeq is replaced by ifneq;appendOption;FALSE
org.apache.commons.cli.HelpFormatter;ifneq is replaced by ifeq;appendOption;FALSE
org.apache.commons.cli.HelpFormatter;+ is replaced by -;printUsage;FALSE
org.apache.commons.cli.HelpFormatter;+ is replaced by -;printUsage;FALSE
org.apache.commons.cli.HelpFormatter;ifeq is replaced by ifneq;renderOptions;FALSE
org.apache.commons.cli.HelpFormatter;ifeq is replaced by ifneq;renderOptions;FALSE
org.apache.commons.cli.HelpFormatter;ifeq is replaced by ifneq;renderOptions;FALSE
org.apache.commons.cli.HelpFormatter;ifneq is replaced by ifeq;renderOptions;FALSE
org.apache.commons.cli.HelpFormatter;ifeq is replaced by ifneq;renderOptions;FALSE
org.apache.commons.cli.HelpFormatter;ifeq is replaced by ifneq;renderOptions;FALSE
org.apache.commons.cli.HelpFormatter;- is replaced by +;renderOptions;FALSE
org.apache.commons.cli.HelpFormatter;+ is replaced by -;renderOptions;FALSE
org.apache.commons.cli.HelpFormatter;ifeq is replaced by ifneq;renderOptions;FALSE
org.apache.commons.cli.HelpFormatter;- is replaced by +;renderWrappedText;FALSE
org.apache.commons.cli.HelpFormatter;ifneq is replaced by ifeq;renderWrappedTextBlock;FALSE
org.apache.commons.cli.HelpFormatter;+ is replaced by -;findWrapPos;FALSE
org.apache.commons.cli.HelpFormatter;+ is replaced by -;findWrapPos;FALSE
